,eventname,EventLongName,coordinates
0,bushy,Bushy parkrun,"[-0.335791, 51.410992]"
1,wimbledon,Wimbledon Common parkrun,"[-0.232215, 51.442078]"
2,banstead,Banstead Woods parkrun,"[-0.184225, 51.307648]"
3,richmond,Richmond parkrun,"[-0.292886, 51.451962]"
4,woodhousemoor,Woodhouse Moor parkrun,"[-1.560059, 53.808582]"
5,bramhall,Bramhall parkrun,"[-2.160702, 53.374268]"
6,brighton,Brighton & Hove parkrun,"[-0.172498, 50.84214]"
7,cardiff,Cardiff parkrun,"[-3.207107, 51.49736]"
8,albert,"Albert parkrun, Middlesbrough","[-1.231788, 54.564972]"
9,basingstoke,Basingstoke parkrun,"[-1.082035, 51.258831]"
10,pollok,"Pollok parkrun, Glasgow","[-4.307882, 55.82992]"
11,gorleston,Gorleston Cliffs parkrun,"[1.73069, 52.567806]"
12,bedfont,Bedfont Lakes parkrun,"[-0.451523, 51.440762]"
13,heaton,Heaton parkrun,"[-2.256263, 53.531975]"
14,roundshaw,Roundshaw Downs parkrun,"[-0.11872, 51.352253]"
15,reading,Reading parkrun,"[-0.941573, 51.460384]"
16,woodbank,Woodbank parkrun,"[-2.130945, 53.408405]"
17,blackpark,Black Park parkrun,"[-0.5476, 51.540329]"
18,silksworth,Silksworth parkrun,"[-1.409099, 54.883911]"
19,finsbury,Finsbury parkrun,"[-0.104145, 51.569595]"
20,edinburgh,Edinburgh parkrun,"[-3.291585, 55.978806]"
21,bromley,Bromley parkrun,"[0.022874, 51.386539]"
22,southmanchester,South Manchester parkrun,"[-2.224689, 53.446072]"
23,bexley,Bexley parkrun,"[0.113254, 51.455132]"
24,wakefieldthornes,Wakefield Thornes parkrun,"[-1.509682, 53.672488]"
25,harrow,Harrow parkrun,"[-0.342734, 51.581781]"
26,hull,Hull parkrun,"[-0.300708, 53.764645]"
27,hadleigh,"Hadleigh parkrun, Essex","[0.59606, 51.549769]"
28,banbury,Banbury parkrun,"[-1.332318, 52.068807]"
29,eastbourne,Eastbourne parkrun,"[0.290451, 50.806248]"
30,aberdeen,Aberdeen parkrun,"[-2.086256, 57.173898]"
31,grovelands,"Grovelands parkrun, Enfield","[-0.113769, 51.633076]"
32,lutonwardown,Luton Wardown parkrun,"[-0.420917, 51.889853]"
33,basildon,Basildon parkrun,"[0.499615, 51.577778]"
34,plean,Plean parkrun,"[-3.881607, 56.057791]"
35,kingsway,"Kingsway parkrun, Gloucester","[-2.272804, 51.821487]"
36,frimleylodge,Frimley Lodge parkrun,"[-0.724851, 51.298622]"
37,ashtoncourt,Ashton Court parkrun,"[-2.639948, 51.443592]"
38,hackneymarshes,Hackney Marshes parkrun,"[-0.025368, 51.553686]"
39,greenwich,Greenwich parkrun,"[0.075155, 51.449459]"
40,tamartrails,Tamar Trails parkrun,"[-4.201763, 50.535163]"
41,olddeerpark,Old Deer Park parkrun,"[-0.306973, 51.464417]"
42,townmoor,Town Moor parkrun,"[-1.617143, 54.988451]"
43,colwick,Colwick parkrun,"[-1.09786, 52.945171]"
44,preston,Preston parkrun,"[-2.703902, 53.751374]"
45,southampton,Southampton parkrun,"[-1.407766, 50.923624]"
46,lydiard,Lydiard parkrun,"[-1.853621, 51.561489]"
